original_name,short_name,full_question
recno,recno,Special relation record number of hh
date,date,"Number of the month(1,2,....12)"
marz,region,Code of marz
members,household_size,Number of the members of the household
typev,area_type,Type of the area
weight,weight,weight
year,year,year
a3,household_has_special_education_children,Does your household have children under the state care or which attend any special educational institution?
c1,housing_type,Type of housing
c2,dwelling_ownership,Does the household own this dwelling or  it rented?
c3_1,monthly_rent_amd,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (AMD)"
c3_2,monthly_rent_usd,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (US$)"
c3_3,monthly_rent_eur,"If the household rents the dwelling from by a private person, how much is will be the monthly rent (euro)"
c4,number_of_rooms,"How many rooms does the household occupy (exclude bathroom, toilet, kitchen)? (room)"
c5,dwelling_space_sqm,The total space
c6,moved_last_5_years,Did you change your place of dwelling during the last 5 years?
c7,reason_moved,Why did the household move?
c8_1,has_centralized_water,Centralized water supply (as source of  water supply )
c8_2,has_hot_water,"Hot running water (tank, Ariston, geyser)  (as source of  water supply )"
c8_3,has_centralized_sanitation,Centralized sanitation compaund  (as source of  water supply )
c8_4,has_local_sanitation,Local sanitation compaund /hole with waste products/  (as source of  water supply )
c8_5,has_outside_toilet,Outside toilet
c8_6,has_gas,Centralized gas supply
c8_7,has_bathtub_shower,Bathtub or shower
c8_8,has_kitchen,Kitchen
c8_9,has_telephone,Telephone
c8_11,has_radio,Radioreceiver
c8_12,has_electricity,Electricity
c8_10,has_mobile,Mobile phone
c8_13,has_computer,Computer
c8_14,has_internet,Internet
c9,water_source,What  sources  of  water do you use?
c10,water_tap_location,Where is your water tap located ?
c10_1,water_tap_distance,"If your water tap located in the street,what will be the distance"
c11_1,potable_water_hours_day,If you have centralized water delivery system how many hours a day will you  have potable water
c11_2,potable_water_24h,"If you have centralized water delivery system how many hours a day will you  have potable water, all day = 24 hours)"
c12_1,main_heating_energy,What main type of energy options  do you use to heat your house
c12_2,supplementary_heating_energy,What supplementary type of energy options  do you use to heat your house
c13_1,heating_equipment_electric_stove,What equipment did you mostly use to heat your house (Electric stove)
c13_2,heating_equipment_oil_heater,What equipment did you mostly use to heat your house (Electric heater (oil battery))
c13_3,heating_equipment_gas_stove,What equipment did you mostly use to heat your house (Gas stove (kitchen))
c13_4,heating_equipment_self_made,What equipment did you mostly use to heat your house (Self-made heater)
c13_5,heating_equipment_manufactured,"What equipment did you mostly use to heat your house (Manufactured heater (Iranian, European, other))"
c13_6,heating_equipment_boiler,"What equipment did you mostly use to heat your house (Local-individual boiler (BAXI, and the like))"
c13_7,heating_equipment_collective_boiler,What equipment did you mostly use to heat your house (Local-collective boiler for the block)
c13_8,heating_equipment_centralized,What equipment did you mostly use to heat your house (Centralized heating)
c13_9,heating_equipment_other,"What equipment did you mostly use to heat your house (Other, specify)"
c14,heating_spend_last_winter_amd,How much money did you spend on the heating of your house during the last winter? (AMD)
c15,garbage_disposal,How does the household get rid of garbage?
c16_1,complaint_floor_space,Not enough floor space (as complaint about housing or environment)
c16_2,complaint_noise,Noise from neighbors or from outside  (as complaint about housing or environment)
c16_3,complaint_light,Lack of light  (as complaint about housing or environment)
c16_4,complaint_heating,Lack of heating  (as complaint about housing or environment)
c16_5,complaint_humidity,Humidity  (as complaint about housing or environment)
c16_6,complaint_leaking_roof,Leaking roof  (as complaint about housing or environment)
c16_7,complaint_walls_floor,Dilapidated  walls and floor  (as complaint about housing or environment)
c16_8,complaint_windows_doors,Dilapidated window frames and doors  (as complaint about housing or environment)
c16_9,complaint_traffic,Heavy traffic  (as complaint about housing or environment)
c16_10,complaint_pollution,Industrial pollution  (as complaint about housing or environment)
c16_11,complaint_elevator,The elevator is frequently out of orde  (as complaint about housing or environment)
c16_12,complaint_water_supply,Bad water supply  (as complaint about housing or environment)
c16_13,complaint_garbage,Bad garbage evacuation  (as complaint about housing or environment)
c16_14,complaint_common_areas,Bad service of common use areas and yard areas in multiple dwelling  (as complaint about housing or environment)
c16_15,complaint_green_areas,Lack of green areas (as complaint about housing or environment)
c16_16,complaint_other,Other  (as complaint about housing or environment)
c17,dwelling_condition_estimate,Estimate your dwelling conditions?
